,index,mechanism,action,drugA,drugB
2243,2243,The metabolism,increase,Acenocoumarol,Calcitriol
2244,2244,The risk or severity of adverse effects,increase,Calcitriol,Calcifediol
2246,2246,The risk or severity of adverse effects,increase,Calcitriol,Cholecalciferol
2249,2249,The therapeutic efficacy,decrease,Budesonide,Calcitriol
2250,2250,The therapeutic efficacy,decrease,Calcitriol,Flunisolide
2252,2252,The therapeutic efficacy,decrease,Calcitriol,Betamethasone
2258,2258,The therapeutic efficacy,decrease,Calcitriol,Hydrocortisone
2261,2261,The therapeutic efficacy,decrease,Calcitriol,Methylprednisolone
2263,2263,The therapeutic efficacy,decrease,Calcitriol,Dexamethasone
2279,2279,The risk or severity of hypokalemia,increase,Calcitriol,Indapamide
2282,2282,The metabolism,increase,Diethylstilbestrol,Calcitriol
2283,2283,The metabolism,increase,Etonogestrel,Calcitriol
2286,2286,The metabolism,increase,Levonorgestrel,Calcitriol
2290,2290,The metabolism,increase,Estradiol,Calcitriol
2292,2292,The metabolism,increase,Mifepristone,Calcitriol
2295,2295,The metabolism,increase,Mestranol,Calcitriol
2300,2300,The metabolism,increase,Gestodene,Calcitriol
2302,2302,The metabolism,increase,Dienogest,Calcitriol
2312,2312,The metabolism,increase,Lorazepam,Calcitriol
2314,2314,The metabolism,increase,Azithromycin,Calcitriol
2317,2317,The metabolism,increase,Metoprolol,Calcitriol
2321,2321,The metabolism,increase,Chlorpromazine,Calcitriol
2322,2322,The metabolism,increase,Albendazole,Calcitriol
2323,2323,The metabolism,increase,Doxazosin,Calcitriol
2324,2324,The metabolism,increase,Fenofibrate,Calcitriol
2326,2326,The metabolism,increase,Desipramine,Calcitriol
2333,2333,The metabolism,increase,Linagliptin,Calcitriol
2336,2336,The metabolism,increase,Netupitant,Calcitriol
2354,2354,The metabolism,increase,Astemizole,Calcitriol
2357,2357,The metabolism,increase,Dofetilide,Calcitriol
2360,2360,The metabolism,increase,Levothyroxine,Calcitriol
2361,2361,The metabolism,increase,Carbamazepine,Calcitriol
2362,2362,The metabolism,increase,Cisapride,Calcitriol
2368,2368,The metabolism,increase,Amiodarone,Calcitriol
2369,2369,The metabolism,increase,Aminophylline,Calcitriol
2371,2371,The metabolism,increase,Dasatinib,Calcitriol
2372,2372,The metabolism,increase,Digitoxin,Calcitriol
2373,2373,The metabolism,increase,Everolimus,Calcitriol
2374,2374,The metabolism,increase,Dronedarone,Calcitriol
2376,2376,The metabolism,increase,Ibrutinib,Calcitriol
2380,2380,The metabolism,increase,Ceritinib,Calcitriol
2384,2384,The metabolism,increase,Clozapine,Calcitriol
2385,2385,The metabolism,increase,Methotrexate,Calcitriol
2389,2389,The metabolism,increase,Daunorubicin,Calcitriol
2390,2390,The metabolism,increase,Cytarabine,Calcitriol
2391,2391,The metabolism,increase,Doxorubicin,Calcitriol
2392,2392,The metabolism,increase,Docetaxel,Calcitriol
2394,2394,The metabolism,increase,Abiraterone,Calcitriol
2401,2401,The metabolism,increase,Bortezomib,Calcitriol
2402,2402,The metabolism,increase,Cabergoline,Calcitriol
2408,2408,The metabolism,increase,Etoposide,Calcitriol
2410,2410,The metabolism,increase,Ixabepilone,Calcitriol
2414,2414,The metabolism,increase,Midostaurin,Calcitriol
2417,2417,The metabolism,increase,Axitinib,Calcitriol
2418,2418,The metabolism,increase,Crizotinib,Calcitriol
2421,2421,The metabolism,increase,Dabrafenib,Calcitriol
2425,2425,The metabolism,increase,Neratinib,Calcitriol
2433,2433,The metabolism,increase,Amlodipine,Calcitriol
2434,2434,The metabolism,increase,Clonazepam,Calcitriol
2437,2437,The serum concentration,decrease,Eszopiclone,Calcitriol
2443,2443,The serum concentration,decrease,Fosphenytoin,Calcitriol
2448,2448,The serum concentration,increase,Haloperidol,Calcitriol
2521,2521,The risk or severity of adverse effects,increase,Calcifediol,Cholecalciferol
2524,2524,The therapeutic efficacy,decrease,Calcifediol,Flunisolide
2526,2526,The therapeutic efficacy,decrease,Calcifediol,Betamethasone
2532,2532,The therapeutic efficacy,decrease,Calcifediol,Hydrocortisone
2535,2535,The therapeutic efficacy,decrease,Calcifediol,Methylprednisolone
2537,2537,The therapeutic efficacy,decrease,Calcifediol,Budesonide
2538,2538,The therapeutic efficacy,decrease,Calcifediol,Dexamethasone
2553,2553,The risk or severity of hypokalemia,increase,Calcifediol,Indapamide
2556,2556,The serum concentration,decrease,Calcifediol,Fosphenytoin
2557,2557,the central nervous system depressant ( CNS depressant ) activities,increase,Tryptophan,Buprenorphine
2559,2559,the central nervous system depressant ( CNS depressant ) activities,increase,Dronabinol,Tryptophan
2560,2560,the central nervous system depressant ( CNS depressant ) activities,increase,Hydrocodone,Tryptophan
2561,2561,the central nervous system depressant ( CNS depressant ) activities,increase,Hydroxyzine,Tryptophan
2562,2562,the central nervous system depressant ( CNS depressant ) activities,increase,Tryptophan,Methotrimeprazine
2563,2563,the central nervous system depressant ( CNS depressant ) activities,increase,Nabilone,Tryptophan
2573,2573,The risk or severity of adverse effects,increase,Methadone,Tryptophan
2577,2577,The risk or severity of adverse effects,increase,Tryptophan,Acenocoumarol
2580,2580,the central nervous system depressant ( CNS depressant ) activities,increase,Tryptophan,Ethanol
2581,2581,the central nervous system depressant ( CNS depressant ) activities,increase,Tryptophan,Azelastine
2585,2585,The risk or severity of adverse effects,increase,Tryptophan,Fluvoxamine
2586,2586,The risk or severity of adverse effects,increase,Tryptophan,Citalopram
2590,2590,The risk or severity of adverse effects,increase,Tryptophan,Nefazodone
2597,2597,the central nervous system depressant ( CNS depressant ) activities,increase,Tryptophan,Disopyramide
2599,2599,the central nervous system depressant ( CNS depressant ) activities,increase,Tryptophan,Profenamine
2600,2600,the central nervous system depressant ( CNS depressant ) activities,increase,Tryptophan,Cyproheptadine
2601,2601,the central nervous system depressant ( CNS depressant ) activities,increase,Tryptophan,Darifenacin
2602,2602,the central nervous system depressant ( CNS depressant ) activities,increase,Tryptophan,Nicardipine
2603,2603,the central nervous system depressant ( CNS depressant ) activities,increase,Tryptophan,Biperiden
2619,2619,The risk or severity of adverse effects,increase,Tryptophan,Eletriptan
2620,2620,The risk or severity of adverse effects,increase,Tryptophan,Enflurane
2622,2622,The risk or severity of adverse effects,increase,Tryptophan,Cabergoline
2625,2625,The risk or severity of adverse effects,increase,Tryptophan,Clemastine
2627,2627,The risk or severity of adverse effects,increase,Tryptophan,Etomidate
2628,2628,The risk or severity of adverse effects,increase,Tryptophan,Morphine
2631,2631,The risk or severity of adverse effects,increase,Tryptophan,Codeine
2632,2632,The risk or severity of adverse effects,increase,Tryptophan,Dihydroergotamine
2634,2634,The risk or severity of adverse effects,increase,Tryptophan,Hydromorphone
2636,2636,The risk or severity of adverse effects,increase,Tryptophan,Chlorzoxazone
2642,2642,The risk or severity of adverse effects,increase,Tryptophan,Entacapone
2644,2644,The risk or severity of adverse effects,increase,Tryptophan,Dextromethorphan
2648,2648,The risk or severity of adverse effects,increase,Tryptophan,Lisuride
2649,2649,The risk or severity of adverse effects,increase,Tryptophan,Ethosuximide
2651,2651,The risk or severity of adverse effects,increase,Tryptophan,Cisapride
2654,2654,The risk or severity of adverse effects,increase,Tryptophan,Dexmedetomidine
2655,2655,The risk or severity of adverse effects,increase,Tryptophan,Dextropropoxyphene
2660,2660,The risk or severity of adverse effects,increase,Tryptophan,Apomorphine
2661,2661,The risk or severity of adverse effects,increase,Tryptophan,Meclizine
2663,2663,The risk or severity of adverse effects,increase,Tryptophan,Isoflurane
2664,2664,The risk or severity of adverse effects,increase,Tryptophan,Dolasetron
2667,2667,The risk or severity of adverse effects,increase,Tryptophan,Alfentanil
2668,2668,The risk or severity of adverse effects,increase,Tryptophan,Fentanyl
2670,2670,The risk or severity of adverse effects,increase,Tryptophan,Acetazolamide
2671,2671,The risk or severity of adverse effects,increase,Tryptophan,Donepezil
2674,2674,The risk or severity of adverse effects,increase,Tryptophan,Alprenolol
2675,2675,The risk or severity of adverse effects,increase,Tryptophan,Granisetron
2678,2678,The risk or severity of adverse effects,increase,Tryptophan,Almotriptan
2679,2679,The risk or severity of adverse effects,increase,Tryptophan,Felbamate
2680,2680,The risk or severity of adverse effects,increase,Tryptophan,Naratriptan
2684,2684,The risk or severity of adverse effects,increase,Tryptophan,Alosetron
2686,2686,The risk or severity of adverse effects,increase,Tryptophan,Frovatriptan
2687,2687,The risk or severity of adverse effects,increase,Tryptophan,Guanfacine
2688,2688,The risk or severity of adverse effects,increase,Tryptophan,Methoxyflurane
2689,2689,The risk or severity of adverse effects,increase,Tryptophan,Melatonin
2690,2690,The risk or severity of adverse effects,increase,Tryptophan,Clonazepam
2692,2692,The risk or severity of adverse effects,increase,Tryptophan,Diphenhydramine
2694,2694,The risk or severity of adverse effects,increase,Tryptophan,Chlorpheniramine
2695,2695,The risk or severity of adverse effects,increase,Tryptophan,Doxacurium
2697,2697,The risk or severity of adverse effects,increase,Tryptophan,Halothane
2699,2699,The risk or severity of adverse effects,increase,Tryptophan,Cyclizine
2703,2703,The risk or severity of adverse effects,increase,Tryptophan,Bromocriptine
2704,2704,The risk or severity of adverse effects,increase,Tryptophan,Ketamine
2706,2706,The risk or severity of adverse effects,increase,Tryptophan,Levodopa
2708,2708,The risk or severity of adverse effects,increase,Tryptophan,Decamethonium
2710,2710,The risk or severity of adverse effects,increase,Tryptophan,Fosphenytoin
2718,2718,The risk or severity of adverse effects,increase,Tryptophan,Ethylmorphine
2720,2720,The risk or severity of adverse effects,increase,Tryptophan,Clotiazepam
2725,2725,The risk or severity of adverse effects,increase,Tryptophan,Flunarizine
2726,2726,The risk or severity of adverse effects,increase,Tryptophan,Lorcaserin
2728,2728,The risk or severity of adverse effects,increase,Tryptophan,Ezogabine
2729,2729,The risk or severity of adverse effects,increase,Tryptophan,Methsuximide
2730,2730,The risk or severity of adverse effects,increase,Tryptophan,Brivaracetam
2733,2733,The risk or severity of adverse effects,increase,Tryptophan,Levocetirizine
2736,2736,The risk or severity of adverse effects,increase,Tryptophan,Agomelatine
2747,2747,The risk or severity of adverse effects,increase,Tryptophan,Blonanserin
2754,2754,The risk or severity of adverse effects,increase,Tryptophan,Lorazepam
2760,2760,The risk or severity of adverse effects,increase,Tryptophan,Amitriptyline
2763,2763,The risk or severity of adverse effects,increase,Tryptophan,Clozapine
2769,2769,The risk or severity of adverse effects,increase,Tryptophan,Imipramine
2770,2770,The risk or severity of adverse effects,increase,Tryptophan,Chlorpromazine
2773,2773,The risk or severity of adverse effects,increase,Tryptophan,Amoxapine
2774,2774,The risk or severity of adverse effects,increase,Tryptophan,Adinazolam
2775,2775,The risk or severity of adverse effects,increase,Tryptophan,Lamotrigine
2776,2776,The risk or severity of adverse effects,increase,Tryptophan,Carbamazepine
2777,2777,The risk or severity of adverse effects,increase,Tryptophan,Fluphenazine
2780,2780,The risk or severity of adverse effects,increase,Tryptophan,Midazolam
2781,2781,The risk or severity of adverse effects,increase,Tryptophan,Flurazepam
2784,2784,The risk or severity of adverse effects,increase,Tryptophan,Diazepam
2791,2791,The risk or severity of adverse effects,increase,Tryptophan,Mesoridazine
2792,2792,The risk or severity of adverse effects,increase,Tryptophan,Maprotiline
2793,2793,The risk or severity of adverse effects,increase,Tryptophan,Gabapentin
2795,2795,The risk or severity of adverse effects,increase,Tryptophan,Doxepin
2796,2796,The risk or severity of adverse effects,increase,Tryptophan,Desipramine
2797,2797,The risk or severity of adverse effects,increase,Tryptophan,Bupropion
2798,2798,The risk or severity of adverse effects,increase,Tryptophan,Estazolam
2800,2800,The risk or severity of adverse effects,increase,Tryptophan,Aripiprazole
2801,2801,The risk or severity of adverse effects,increase,Tryptophan,Clomipramine
2804,2804,The risk or severity of adverse effects,increase,Tryptophan,Flunitrazepam
2805,2805,The risk or severity of adverse effects,increase,Tryptophan,Bromazepam
2817,2817,The risk or severity of adverse effects,increase,Tryptophan,Mianserin
2819,2819,The risk or severity of adverse effects,increase,Tryptophan,Asenapine
2837,2837,The risk or severity of adverse effects,increase,Cannabidiol,Tryptophan
2838,2838,The risk or severity of adverse effects,increase,Nabiximols,Tryptophan
2840,2840,The risk or severity of serotonin syndrome,increase,Tryptophan,Buspirone
2841,2841,The risk or severity of serotonin syndrome,increase,Tryptophan,Naltrexone
2843,2843,The risk or severity of serotonin syndrome,increase,Tryptophan,Cocaine
2844,2844,The risk or severity of serotonin syndrome,increase,Tryptophan,Amantadine
2845,2845,The risk or severity of serotonin syndrome,increase,Tryptophan,Isoniazid
2847,2847,The risk or severity of serotonin syndrome,increase,Tryptophan,Dexfenfluramine
2849,2849,The risk or severity of serotonin syndrome,increase,Tryptophan,Dextroamphetamine
2851,2851,The risk or severity of adverse effects,increase,Carisoprodol,Tryptophan
2852,2852,The risk or severity of CNS depression,increase,Tryptophan,Eszopiclone
2853,2853,The risk or severity of sedation,increase,Clonidine,Tryptophan
2856,2856,The risk or severity of CNS depression,increase,Tryptophan,Cyclobenzaprine
2857,2857,The risk or severity of sedation,increase,Tryptophan,Metoclopramide
2862,2862,The risk or severity of CNS depression,increase,Tryptophan,Haloperidol
2863,2863,The risk or severity of serotonin syndrome,increase,Tryptophan,Fluoxetine
4011,4011,The therapeutic efficacy,decrease,Cholecalciferol,Flunisolide
4013,4013,The therapeutic efficacy,decrease,Cholecalciferol,Betamethasone
4019,4019,The therapeutic efficacy,decrease,Cholecalciferol,Hydrocortisone
4022,4022,The therapeutic efficacy,decrease,Cholecalciferol,Methylprednisolone
4024,4024,The therapeutic efficacy,decrease,Cholecalciferol,Budesonide
4025,4025,The therapeutic efficacy,decrease,Cholecalciferol,Dexamethasone
4039,4039,The metabolism,decrease,Amiodarone,Cholecalciferol
4041,4041,The metabolism,decrease,Imipramine,Cholecalciferol
4044,4044,The metabolism,decrease,Desipramine,Cholecalciferol
4045,4045,The metabolism,decrease,Clomipramine,Cholecalciferol
4048,4048,The metabolism,decrease,Lidocaine,Cholecalciferol
4049,4049,The metabolism,decrease,Methadone,Cholecalciferol
4050,4050,The metabolism,decrease,Diltiazem,Cholecalciferol
4051,4051,The metabolism,decrease,Clozapine,Cholecalciferol
4053,4053,The metabolism,decrease,Celecoxib,Cholecalciferol
4054,4054,The metabolism,decrease,Dextromethorphan,Cholecalciferol
4056,4056,The metabolism,decrease,Chloroquine,Cholecalciferol
